NAME,VIAF NAME,VARIANTS NAMES,VIAF,WIKIPEDIA,WORLDCAT,LOC,IMDb,IBDb,LOC (Popular Graphic Arts),Notes
"Duncan, Isadora, 1877-1927","Duncan, Isadora, 1877-1927","
Aysedora Dunkan
Dankan, Izantora,
Dankan, Izantora
Denkan, Izadora,
DeÌˆnkan, Izadora,
Duncan, Angela
Duncan, Angela Isadora
Duncan, Angela,
Duncan, Dora Angela
Duncan, Dora Angela,
Duncan, I.
Duncan, Isadora
Duncan,
Dunkan, A.
Dunkan, Aisedora,
Dunkan, AiÌ†sedora,
Dunkan, Ajsedora
Dunkan, Ajsedora,
Dunkan, Ajsedora.
Dunkan, AÃ¯sedora
Dunkan, AÄ",http://viaf.org/viaf/59124789,https://en.wikipedia.org/wiki/Isadora_Duncan,http://www.worldcat.org/identities/lccn-n79-123616/,http://id.loc.gov/authorities/names/n79123616,,https://www.ibdb.com/broadway-cast-staff/isadora-duncan-409905,,
"Dunlap, Willliam, 1766-1839","Dunlap, Willliam, 1766-1839","Dunlap, William
William Dunlap",http://viaf.org/viaf/12464592/,https://en.wikipedia.org/wiki/William_Dunlap,http://www.worldcat.org/identities/lccn-n50029736/,http://id.loc.gov/authorities/names/n50029736,,https://www.ibdb.com/broadway-cast-staff/william-dunlap-85235,,
"Dunn, James Colgan, 1818-1891",,,,,"http://www.worldcat.org/identities/np-dunn,%20james%20coglan$1818%201891/",,,,,
"Dunstall, John, 1717-1778","Dunstall, John, 1717-1778","Dunstall,",http://viaf.org/viaf/31564113,,http://www.worldcat.org/identities/lccn-no92-20012/,http://id.loc.gov/authorities/names/no92020012,,,,
"Durand, Rosalie, 1829-1866","Durand, Rosalie, 1829-1866","Durand, Rosalie A.,
Durand,
Durand
Durang, Rosalie,
Singleton,",http://viaf.org/viaf/71321533,,http://www.worldcat.org/identities/lccn-nr2001-35830/,http://id.loc.gov/authorities/names/nr2001035830,,,,
"Durang, Charles","Durang, Charles",Charles Durang,http://viaf.org/viaf/36949129,https://en.wikipedia.org/wiki/Charles_Durang,http://www.worldcat.org/identities/lccn-n84-49091/,http://id.loc.gov/authorities/names/n84049091,,,,
"Duse, Eleonora, 1858-1924","Duse, Eleonora, 1858-1924","Alienora Duse
Brown, Eleonor
Duse, Eleonora
Duse, Eleonora Giulia Amalia
Duse, Eleonore
Duze, Eleonora,
Duze, Eleonora
DÅ«ze, Eleonora,
DÅ«ze, Eleonora
Eleonora Duse
La Duse",http://viaf.org/viaf/39421089,https://en.wikipedia.org/wiki/Eleonora_Duse,http://www.worldcat.org/identities/lccn-n79-38473/,http://id.loc.gov/authorities/names/n79038473,http://www.imdb.com/name/nm0244598/,https://www.ibdb.com/broadway-cast-staff/eleonora-duse-38814,,
"Dyott, John, d. 1876","Dyott, John, 1812-1876","Dyott, Mr.
Dyott",http://viaf.org/viaf/83643935/,,http://www.worldcat.org/identities/lccn-no2009047264/,http://id.loc.gov/authorities/names/no2009047264,,,,
"Earl, Tilly, fl. 1870",,,,,"http://www.worldcat.org/identities/np-earl,%20tilly/",,https://www.ibdb.com/broadway-cast-staff/tilly-earl-445662,,,
"Eddy, Edward, 1822-1875","Eddy, Edward, 1822-1875","Eddy, E.",http://viaf.org/viaf/9676264,,http://www.worldcat.org/identities/lccn-no2008-180562/,http://id.loc.gov/authorities/names/no2008180562,,https://www.ibdb.com/broadway-cast-staff/edward-eddy-497086,,
"Edgar, Edward Fisher, d. 1884","Edgar, Edward Fisher, -1884","Edgar, E. F.
Edgar, Edward Fisher,",http://viaf.org/viaf/11881486,,http://www.worldcat.org/identities/lccn-no94-2010/,http://id.loc.gov/authorities/names/no94002010,,,,
"Edmiston, Miss, b. 1801",,,,,,,,,,Nothing found
"Edwards, Henry, 1824 or 30-1891","Edwards, Henry, 1827-1891","Edwards, Henry
Edwards, H.
",http://viaf.org/viaf/17604017/,https://en.wikipedia.org/wiki/Henry_Edwards_(entomologist),http://www.worldcat.org/identities/lccn-no2010045963/,http://id.loc.gov/authorities/names/no2010045963,,,,
"Edwin, Elizabeth Rebecca, ca. 1771-1854","Edwin, Elizabeth Rebecca, 1771?-1854","Edwin, Elizabeth Rebecca
Elizabeth Rebecca Edwin",http://viaf.org/viaf/83572384/,https://en.wikipedia.org/wiki/Elizabeth_Rebecca_Edwin,http://www.worldcat.org/identities/lccn-no2009035641/,http://id.loc.gov/authorities/names/no2009035641,,,,
"Edwin, John, 1749-1790","Edwin, John, 1749-1790","Edwin,
Edwin
John Edwin (1749 - 1790)
John Edwin
Old croney,
Old croney",http://viaf.org/viaf/55533963,https://en.wikipedia.org/wiki/John_Edwin_(1749â€“1790),http://www.worldcat.org/identities/lccn-n83-212090/,http://id.loc.gov/authorities/names/n83212090,,,,
"Edwin, John, 1769?-1805","Edwin, John, 1769?-1805","Edwin, J.
John Edwin (1768 - 1805)
John Edwin",http://viaf.org/viaf/26086007,https://en.wikipedia.org/wiki/John_Edwin_(1768â€“1805),http://www.worldcat.org/identities/lccn-n86-85776/,http://id.loc.gov/authorities/names/n86085776,,,,
"Edwin, William, fl. 1836",,,,,,,,https://www.ibdb.com/broadway-cast-staff/mr-william-edwin-501480,,"Tentative
"
"Egerton, Daniel, 1772-1835","Egerton, Daniel, 1772-1835","Daniel Egerton
",http://viaf.org/viaf/12133389/,https://en.wikipedia.org/wiki/Daniel_Egerton,http://www.worldcat.org/identities/lccn-no2008151732/,http://id.loc.gov/authorities/names/no2008151732,,,,
"Egerton, Kate","Egerton, Katherine E.","Egerton, Kate
Egerton, Kate.",http://viaf.org/viaf/56317070,,http://www.worldcat.org/identities/lccn-no2004-15935/,http://id.loc.gov/authorities/names/no2004015935,,,,
"Egerton, Sarah, 1782-1847","Egerton, Sarah, -1847","Egerton, Sarah
Sarah Egerton",http://viaf.org/viaf/78999526,https://en.wikipedia.org/wiki/Sarah_Egerton_(actress),http://www.worldcat.org/identities/lccn-no2009028873/,http://id.loc.gov/authorities/names/no2009028873,,,,
"Eldridge, Jessie",,,,,,,,,,Nothing found
"Ellis, Clara, d. 1850",,,,,,,,,,Nothing found
"Elliston, Robert William, 1774-1831","Elliston, R. W. (Robert William), 1774-1831","Elliston, R. W. (Robert William
Robert William Elliston
Elliston, R. W.",http://viaf.org/viaf/3833089/,https://en.wikipedia.org/wiki/Robert_William_Elliston,http://www.worldcat.org/identities/lccn-n82225735/,http://id.loc.gov/authorities/names/n82225735,,,,
"Elphinstone, Emma Marian Maria, 1806 or 7- 1888","Elphinstone, Emma Marian Maria, 1806 or 7- 1888",,http://viaf.org/viaf/83587130/,,http://www.worldcat.org/identities/lccn-no2009038081/,http://id.loc.gov/authorities/names/no2009038081,,,,
"Elsworthy, Agnes, fl. 1850-1856",,,,,"http://www.worldcat.org/identities/np-elsworthy,%20agnes$1825%201879/",,,,,
"Emery, John, 1777-1822","Emery, John, 1777-1822","Emery,
Emery
John Emery
",http://viaf.org/viaf/63571188,https://en.wikipedia.org/wiki/John_Emery_(English_actor),http://www.worldcat.org/identities/lccn-no91-14431/,http://id.loc.gov/authorities/names/no91014431,,,,
"Emery, Samuel Anderson, 1817-1881","Emery, Samuel Anderson, 1817-1881","Emery,
Emery
Samuel Anderson Emery",http://viaf.org/viaf/73417578,https://en.wikipedia.org/wiki/Samuel_Anderson_Emery,http://www.worldcat.org/identities/lccn-no91-27402/,http://id.loc.gov/authorities/names/no91027402,,,,
"Esten, Harriet Pye, ca. 1765-1865","Esten, Harriet Pye, ca. 1765-1865","Bennett, Harriet,
Esten, Harriet Pye,
Scott-Waring, Harriet,",http://viaf.org/viaf/306131517,,http://www.worldcat.org/identities/lccn-nr93-13409/,http://id.loc.gov/authorities/names/nr93013409,,,,
"Evans, Charles E., 1857-1945","Evans, Charles E., 1857-1945",,http://viaf.org/viaf/2331969,,http://www.worldcat.org/identities/lccn-nr92-23388/,http://id.loc.gov/authorities/names/nr92023388,http://www.imdb.com/name/nm0262628/,https://www.ibdb.com/broadway-cast-staff/charles-e-evans-67447,,
