TEI ID,TITLE,LEVEL,TYPE,PARENT NODE,URL,Notes
c50290,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50320,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50320,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50330,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50370,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50390,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50410,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50490,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50650,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50740,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50760,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50780,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50800,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50810,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c50880,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c51070,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c51270,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c51530,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c51540,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c51550,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c51580,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c51770,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c51870,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c51950,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c51990,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c52030,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c52120,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c52170,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c52210,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c52210,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c52260,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c52260,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c52470,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c52470,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c52500,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c52590,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c52630,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c52640,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c52710,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c52720,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c52730,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
c53260,The New York Herald,j,,bibl,http://fultonhistory.com/my%20photo%20albums/All%20Newspapers/New%20York%20NY%20Herald/index.html,
