Production,Year,Location,Source,Source Type,Link,
,,,Theatricalia,Specific,http://theatricalia.com/play/n/romeo-and-juliet/production/xm,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Romeo_and_Juliet,
Othello,1951,"St. James's Theatre (London, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/8/othello/production/p71,
Othello,1956,"Royal Shakespeare Theatre (Stratford-upon-Avon, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/8/othello/production/y1,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Othello,
Magic Flute,1962,"Sadler's Wells Theatre (London, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/2vy/the-magic-flute/production/9qb,
Magic Flute,1957,"Sadler's Wells Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Magic_Flute,
Hamlet,1950,"Kronborg Castle (Elsinore, Denmark)",,,,
,,,Theatricalia,Tentative,http://theatricalia.com/play/2/hamlet/production/mqd,
Hamlet,1958,"Royal Shakespeare Theatre (Stratford-upon-Avon, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/2/hamlet/production/yf,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Hamlet,
Idomeneo,1962,"Sadler's Wells Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Idomeneo,
Tovarich,1963,"Broadway Theatre (New York, N.Y.)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/4gd/tovarich/production/9rz,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Tovarich_(musical),
Cosi Fan Tutte,1963,"Sadler's Wells Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Cos%C3%AC_fan_tutte,
Adventures of the Scarlet Pimpernel,1955,"Elstree Film and Television Studios (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Scarlet_Pimpernel_(musical),
Immoralist,1954,n/a,,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/atx/the-immoralist/production/pfa,
Paint Your Wagon,1951,"Shubert Theatre (New York, N.Y.)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Paint_Your_Wagon_(musical),
Oklahoma!,1955,MGM (film),,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Oklahoma!,
,,,Wikipedia,Specific,https://en.wikipedia.org/wiki/Oklahoma!_(1955_film),
Book of the Month,nd,n/a,,,,
,,,Amazon Books,Broad,http://www.amazon.com/Book-Month-Play-Basil-Thomas/dp/0237490234,
Old Master (The Old Boys),nd,n/a,,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Old_Masters_(play),
Haunted Ballroom,1934,"Sadler's Wells Theatre (London, England)",,,,
,,,Wikipedia,Composer,https://en.wikipedia.org/wiki/Geoffrey_Toye,
,,,Coldfront,Broad,http://kol.coldfront.net/thekolwiki/index.php/The_Haunted_Ballroom,
Noah,1935,"Noel Coward Theatre (London, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/3r4/noah/production/nhq,
Happy Hypocrite,193?,"His Majesty's Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Happy_Hypocrite,
Charles the King,1936,"Lyric Theatre (Hammersmith, London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/King_Charles_III_(play),
Witch of Edmonton,1936,"Old Vic Theatre (London, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/2r6/witch-of-edmontonthe/production/7cj,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Witch_of_Edmonton,
Richard II,1937,"Queen's Theatre (London, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/1x/richard-ii/production/7cw,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Richard_II_of_England,
School for Scandal,1937,"Queen's Theatre (London, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/4/the-school-for-scandal/production/7fg,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_School_for_Scandal,
Marriage of Blood,1939,"Savoy Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Blood_Wedding,
Confederacy,1939,London Theatre Studio,,,,
,,,NO SOURCE,NO SOURCE,NO SOURCE,
Chicken Ballet,nd,n/a,,,,
,,,NO SOURCE,NO SOURCE,NO SOURCE,
Rodeo,1942,"Metropolitan Opera (New York, N.Y.)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Rodeo_(ballet),
Illustrations for Lectures,nd,London Theatre Studio,,,,
,,,n/a,n/a,n/a,
Three Sisters,1938,"Queen's Theatre (London, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/bk/three-sisters/production/7fp,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Three_Sisters_(play),
Winter's Tale,1948,Shakespeare Memorial Company,,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/1v/the-winters-tale/production/w8,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Winter's_Tale,
Miss Liberty,1949,"Imperial Theater (New York, N.Y.)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Miss_Liberty,
South Pacific,1949,"Majestic Theatre (New York, N.Y.)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/South_Pacific_(musical),
Hassan,1951,"Cambridge Theatre (London, England)",,,,
,,,Theatricalia,Theatrical,http://theatricalia.com/play/2vz/hassan/production/6er,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Hassan,
Richard III,1953,"Shakespeare Memorial Theatre (Stratford-upon-Avon, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/18/richard-iii/production/xd,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Richard_III_(play),
Mademoiselle Colombe,1954,"Longacre Theatre (New York, N.Y.)",,,,
,,,IBDb,Broad,https://www.ibdb.com/Production/View/2430,
Eugene Onegin,1954,"Sadler's Wells Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Eugene_Onegin_(opera),
Charley's Aunt,1954,"New Theatre (London, England)",,,,
,,,Theatricalia - Specific,,http://theatricalia.com/play/21k/charleys-aunt/production/nqn,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Charley's_Aunt,
Colombe,1954,"New Theatre (London, England)",,,,
,,,Theatricalia,Theatrical,http://theatricalia.com/play/6kr/colombe/production/pem,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Colombe_(play),
Coriolanus,nd,"Shakespeare Memorial Theatre (Stratford-upon-Avon, England)",,,,
,,,Theatricalia - Specific,,http://theatricalia.com/play/1r/coriolanus/production/x2,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Coriolanus,
Nelson,1954,"Sadler's Wells Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Nelson_(opera),
Likely Tale,1956,"Globe Theatre (London, England)",,,,
,,,National Library of Australia,Broad,http://catalogue.nla.gov.au/Record/2936479,
Cards of Identity,1956,"Royal Court Theatre (London, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/45d/cards-of-identity/production/920,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Cards_of_Identity,
Seagull,1956,"Saville Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Seagull,
Long Day's Journey Into Night,1956,"Helen Hayes Theater (New York, N.Y.)",,,,
,,,Theatricalia,tentative,http://theatricalia.com/play/49d/long-days-journey-into-night/production/p5c,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Long_Day's_Journey_into_Night,
Country Wife,1956,"Royal Court Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Country_Wife,
Mike Todd's Birthday Party,1957,"Madison Square Garden (New York, N.Y.)",,,,
,,,NO SOURCE,NO SOURCE,NO SOURCE,
Shinbone Alley,1957,"Broadway Theatre (New York, N.Y.)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Shinbone_Alley,
Requiem for a Nun,1957,"Royal Court Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Requiem_for_a_Nun,
Jane Eyre,1958,"Belasco Theatre (New York, N.Y.)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Jane_Eyre_(musical),
Innocents,1952,"Her Majesty's Theatre (London, England)",,,,
,,,Theatricalia,tentative,http://theatricalia.com/play/at5/the-innocents/production/pdc,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Innocents_(play),
Simon Boccanegra,1960,"Metropolitan Opera (New York, N.Y.)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Simon_Boccanegra,
Naming of Murderer's Rock,1960,"Royal Court Theatre (London, England)",,,,
,,,Design by Motley by Michael Mullin,Specific,https://books.google.com/books?id=cVqUizkMUrEC&pg=PA253&lpg=PA253&dq=Naming+of+Murderer%27s+Rock&source=bl&ots=IUoMapoBIJ&sig=4fa9q9VRbXqHj0g96N9uJ7LZCkM&hl=en&sa=X&ved=0ahUKEwj5hd_z9_vMAhUO4GMKHT5DAOAQ6AEIIzAC#v=onepage&q=Naming%20of%20Murderer%27s%20Rock&f=false,
Toys in the Attic,1960,"Piccadilly Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Toys_in_the_Attic_(play),
Ross,1961,"Haymarket Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Ross_(play),
Lady from the Sea,1961,"Queen's Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Lady_from_the_Sea,
You in Your Small Corner,1961,"Royal Court Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/You_in_Your_Small_Corner,
Complaisant Lover,1961,Barrymore Theatre Corporation,,,,
,,,Theatricalia,specific,http://theatricalia.com/play/4cq/the-complaisant-lover,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Complaisant_Lover,
Much Ado About Nothing,1958,"Royal Shakespeare Theatre (Stratford-upon-Avon, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/1/much-ado-about-nothing/production/ym,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Much_Ado_About_Nothing,
Henry IV,1962,"American Shakespeare Theatre (Stratford, Conn.)",,,,
,,,Wikipedia,Broad,"https://en.wikipedia.org/wiki/Henry_IV,_Part_1",
Vanity Fair,1962,"Queen's Theatre (London, England)",,,,
,,,Theatricalia,Specific,http://theatricalia.com/play/4fq/vanity-fair/production/9qk,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Vanity_Fair_(novel),
Mother Courage and Her Children,1963,"Martin Beck Theatre (New York, N.Y.)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Mother_Courage_and_Her_Children,
Where Angels Fear to Tread,1963,"Arts Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Where_Angels_Fear_to_Tread,
Der Freischutz,1963,"Sadler's Wells Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Der_Freisch%C3%BCtz,
Hobson's Choice,1963,"National Theatre at the Old Vic Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Hobson's_Choice_(play),
Makropulos Case,1964,"Sadler's Wells Theatre (London, England)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/The_Makropulos_Affair_(opera),
Can-Can,1953,"Shubert Theatre (New York, N.Y.)",,,,
,,,Wikipedia,Broad,https://en.wikipedia.org/wiki/Can-Can_(musical),
